id;origen;final;status;reason;distance;duration
5-167;5;167;200;OK;1756.9;290.4
151-151;151;151;200;OK;0;0
34-78;34;78;200;OK;4322.5;727.4
84-18;84;18;200;OK;3129.8;559.1
65-85;65;85;200;OK;3028.6;508.7
66-85;66;85;200;OK;3400.0;569.8
30-53;30;53;200;OK;2597.5;425.0
104-23;104;23;200;OK;3058.8;531.9
115-2;115;2;200;OK;2790.2;457.5
135-83;135;83;200;OK;3194.1;577.4
122-1;122;1;200;OK;2848.7;479.9
109-109;109;109;200;OK;0;0
86-5;86;5;200;OK;3080.5;517.6
25-4;25;4;200;OK;1695.6;385.3
129-98;129;98;200;OK;3808.0;650.5
54-14;54;14;200;OK;3747.1;637.9
86-14;86;14;200;OK;3474.3;571.0
137-164;137;164;200;OK;3351.0;548.3
137-138;137;138;200;OK;738.9;120.9
7-108;7;108;200;OK;1468.4;240.3
43-153;43;153;200;OK;4908.4;811.4
41-42;41;42;200;OK;521.4;89.1
81-41;81;41;200;OK;4470.7;731.5
123-118;123;118;200;OK;1642.5;272.6
98-166;98;166;200;OK;1953.2;331.7
2-163;2;163;200;OK;2688.8;443.4
93-87;93;87;200;OK;4183.5;684.5
62-118;62;118;200;OK;2951.8;483.0
9-165;9;165;200;OK;1149.8;199.7
132-116;132;116;200;OK;2845.4;475.1
28-161;28;161;200;OK;3256.8;550.5
40-38;40;38;200;OK;1265.8;246.8
123-137;123;137;200;OK;5529.0;904.7
64-155;64;155;200;OK;3257.9;533.1
117-12;117;12;200;OK;2002.7;362.4
14-21;14;21;200;OK;2063.0;379.6
81-56;81;56;200;OK;3457.4;630.9
90-133;90;133;200;OK;4288.7;757.3
53-9;53;9;200;OK;3474.0;600.0
56-37;56;37;200;OK;411.8;148.1
62-35;62;35;200;OK;1685.8;283.0
9-113;9;113;200;OK;1251.7;207.0
98-61;98;61;200;OK;2414.3;412.4
54-58;54;58;200;OK;2835.6;486.2
43-52;43;52;200;OK;1241.3;220.9
129-29;129;29;200;OK;2666.3;509.3
86-38;86;38;200;OK;1306.1;236.3
135-169;135;169;200;OK;5717.4;989.2
64-124;64;124;200;OK;2897.9;474.2
78-11;78;11;200;OK;2984.9;523.5
114-135;114;135;200;OK;6124.4;1058.7
174-56;174;56;200;OK;1661.2;452.3
42-161;42;161;200;OK;4098.6;692.3
116-56;116;56;200;OK;4213.5;730.1
112-154;112;154;200;OK;2866.8;477.0
1-103;1;103;200;OK;3005.6;494.0
128-23;128;23;200;OK;3250.4;586.4
172-4;172;4;200;OK;4758.0;869.1
132-48;132;48;200;OK;2817.9;524.2
73-162;73;162;200;OK;3518.5;575.7
169-83;169;83;200;OK;4240.3;693.8
143-23;143;23;200;OK;4496.5;794.1
124-51;124;51;200;OK;3057.7;566.6
110-129;110;129;200;OK;3653.1;607.1
142-23;142;23;200;OK;4381.6;779.2
13-76;13;76;200;OK;4276.9;724.7
58-16;58;16;200;OK;725.9;167.4
100-14;100;14;200;OK;2723.9;448.3
161-12;161;12;200;OK;2100.2;381.2
137-113;137;113;200;OK;4836.9;793.7
162-22;162;22;200;OK;3110.3;516.9
127-3;127;3;200;OK;3783.7;640.6
10-51;10;51;200;OK;1869.6;365.2
156-42;156;42;200;OK;3880.1;667.1
5-92;5;92;200;OK;2069.1;341.5
75-58;75;58;200;OK;3257.0;532.9
86-6;86;6;200;OK;2887.1;472.4
55-59;55;59;200;OK;3620.7;607.7
138-155;138;155;200;OK;2811.6;473.2
108-12;108;12;200;OK;1965.6;359.1
12-38;12;38;200;OK;2491.7;496.9
104-59;104;59;200;OK;2973.2;512.2
131-25;131;25;200;OK;1856.3;321.0
171-59;171;59;200;OK;3229.4;543.7
10-1;10;1;200;OK;1500.8;255.2
156-53;156;53;200;OK;5012.3;820.1
33-32;33;32;200;OK;562.1;95.3
169-62;169;62;200;OK;1439.0;235.5
6-45;6;45;200;OK;2945.9;545.6
105-2;105;2;200;OK;2977.4;488.1
149-15;149;15;200;OK;3697.2;606.1
107-8;107;8;200;OK;1473.4;241.8
163-17;163;17;200;OK;1573.2;257.4
37-174;37;174;200;OK;1301.8;399.1
89-45;89;45;200;OK;2915.0;485.9
74-58;74;58;200;OK;2719.1;450.7
13-31;13;31;200;OK;3112.5;509.3
172-104;172;104;200;OK;4146.6;689.0
160-51;160;51;200;OK;4997.6;859.9
136-9;136;9;200;OK;4175.6;683.2
129-39;129;39;200;OK;2382.4;443.5
25-42;25;42;200;OK;1595.8;306.5
152-75;152;75;200;OK;3923.3;645.2
23-39;23;39;200;OK;1779.4;354.8
115-22;115;22;200;OK;2353.1;393.0
16-116;16;116;200;OK;2037.8;333.4
7-149;7;149;200;OK;2738.5;448.1
126-38;126;38;200;OK;2598.8;442.1
108-11;108;11;200;OK;1191.7;199.1
103-75;103;75;200;OK;1134.2;185.6
67-86;67;86;200;OK;3067.5;513.7
57-114;57;114;200;OK;4874.8;833.5
149-163;149;163;200;OK;1661.4;273.0
3-113;3;113;200;OK;1869.2;305.8
167-41;167;41;200;OK;4536.0;749.4
171-156;171;156;200;OK;3945.1;645.5
77-46;77;46;200;OK;3117.9;521.9
92-149;92;149;200;OK;3283.8;537.3
109-158;109;158;200;OK;1830.3;303.0
105-11;105;11;200;OK;1796.2;298.0
9-161;9;161;200;OK;1420.3;233.9
52-114;52;114;200;OK;5326.7;921.0
67-11;67;11;200;OK;3368.8;555.4
6-14;6;14;200;OK;1096.0;181.9
61-142;61;142;200;OK;4005.4;655.4
113-17;113;17;200;OK;2348.9;384.3
87-3;87;3;200;OK;4856.8;816.2
79-94;79;94;200;OK;2357.7;412.0
66-63;66;63;200;OK;3412.6;603.5
132-47;132;47;200;OK;2994.8;524.3
31-19;31;19;200;OK;1371.2;235.8
156-59;156;59;200;OK;2154.2;362.5
92-2;92;2;200;OK;2401.8;393.9
124-5;124;5;200;OK;1327.5;243.9
69-16;69;16;200;OK;2555.7;418.2
170-171;170;171;200;OK;676.6;110.7
73-77;73;77;200;OK;2031.4;341.0
151-126;151;126;200;OK;6083.9;1034.3
123-38;123;38;200;OK;1866.4;348.9
122-38;122;38;200;OK;2404.7;437.0
26-38;26;38;200;OK;1282.0;261.6
119-138;119;138;200;OK;6030.7;1008.7
38-147;38;147;200;OK;4686.3;830.7
2-149;2;149;200;OK;4156.7;683.6
10-8;10;8;200;OK;1997.7;339.8
16-48;16;48;200;OK;2384.3;471.7
155-146;155;146;200;OK;1441.4;244.3
163-53;163;53;200;OK;4022.1;658.1
129-89;129;89;200;OK;3056.1;516.4
159-126;159;126;200;OK;5681.3;930.7
103-3;103;3;200;OK;3300.5;589.4
133-64;133;64;200;OK;3580.2;598.6
56-59;56;59;200;OK;1652.4;407.7
18-1;18;1;200;OK;1791.1;333.5
42-152;42;152;200;OK;5736.6;963.4
131-26;131;26;200;OK;1737.0;289.3
42-108;42;108;200;OK;3818.7;649.6
21-124;21;124;200;OK;1624.3;269.8
28-1;28;1;200;OK;1297.2;256.0
142-157;142;157;200;OK;1620.9;269.2
42-91;42;91;200;OK;2296.4;414.6
160-78;160;78;200;OK;5782.3;968.7
67-74;67;74;200;OK;1582.3;261.8
76-87;76;87;200;OK;1145.7;213.9
77-19;77;19;200;OK;4150.4;687.1
169-52;169;52;200;OK;3950.5;660.7
65-162;65;162;200;OK;2656.5;434.7
114-81;114;81;200;OK;2528.7;413.8
62-67;62;67;200;OK;3405.4;584.4
18-131;18;131;200;OK;2057.9;346.0
168-142;168;142;200;OK;3258.9;533.2
142-173;142;173;200;OK;2047.1;352.3
2-135;2;135;200;OK;3699.1;665.3
126-46;126;46;200;OK;2107.4;344.8
163-2;163;2;200;OK;2551.4;418.4
8-166;8;166;200;OK;2360.3;386.2
7-166;7;166;200;OK;2489.5;407.4
55-124;55;124;200;OK;3726.3;609.7
120-39;120;39;200;OK;2569.2;451.5
155-161;155;161;200;OK;2894.1;477.7
33-167;33;167;200;OK;2399.7;411.4
79-78;79;78;200;OK;516.5;131.4
131-23;131;23;200;OK;2228.4;385.6
85-171;85;171;200;OK;4097.2;670.4
135-101;135;101;200;OK;5006.9;872.9
170-77;170;77;200;OK;3094.4;506.3
131-19;131;19;200;OK;2471.1;412.3
23-153;23;153;200;OK;3341.9;567.8
17-167;17;167;200;OK;2745.6;449.2
162-98;162;98;200;OK;2031.3;344.5
75-6;75;6;200;OK;3581.3;586.0
2-57;2;57;200;OK;1334.4;324.3
10-59;10;59;200;OK;1577.0;327.1
142-138;142;138;200;OK;1941.8;317.7
62-145;62;145;200;OK;3629.9;594.0
64-151;64;151;200;OK;3694.7;604.6
53-156;53;156;200;OK;5406.1;916.2
47-75;47;75;200;OK;3564.2;621.1
168-86;168;86;200;OK;4305.0;704.4
39-14;39;14;200;OK;2188.4;383.0
98-59;98;59;200;OK;1529.0;282.8
45-53;45;53;200;OK;1191.6;213.0
115-21;115;21;200;OK;2277.8;376.8
76-132;76;132;200;OK;5479.3;944.2
168-18;168;18;200;OK;2189.5;389.2
17-41;17;41;200;OK;1933.8;328.0
44-116;44;116;200;OK;3390.0;554.7
59-118;59;118;200;OK;2509.5;441.8
34-13;34;13;200;OK;1317.7;217.2
49-134;49;134;200;OK;669.1;129.0
84-57;84;57;200;OK;1421.2;241.3
94-5;94;5;200;OK;2730.6;464.7
20-44;20;44;200;OK;1394.9;283.8
2-104;2;104;200;OK;3285.1;556.4
54-54;54;54;200;OK;0;0
142-132;142;132;200;OK;5643.7;941.2
64-35;64;35;200;OK;2379.5;396.5
26-163;26;163;200;OK;1851.5;308.1
115-11;115;11;200;OK;1609.0;267.4
61-123;61;123;200;OK;1072.8;175.5
35-119;35;119;200;OK;3044.4;509.1
103-83;103;83;200;OK;2480.2;405.8
77-162;77;162;200;OK;4334.7;709.3
162-142;162;142;200;OK;2723.4;445.6
119-163;119;163;200;OK;2121.7;369.0
95-59;95;59;200;OK;2003.1;352.6
122-156;122;156;200;OK;3426.3;560.6
15-26;15;26;200;OK;902.8;152.8
64-11;64;11;200;OK;1787.1;296.5
160-124;160;124;200;OK;1839.9;305.0
7-16;7;16;200;OK;1196.6;246.0
86-87;86;87;200;OK;2789.3;491.2
76-42;76;42;200;OK;4800.3;842.9
108-47;108;47;200;OK;3289.1;626.5
130-26;130;26;200;OK;1858.3;343.0
87-64;87;64;200;OK;3372.7;563.6
75-27;75;27;200;OK;3982.5;674.4
3-168;3;168;200;OK;1931.2;316.0
152-148;152;148;200;OK;798.9;132.2
78-75;78;75;200;OK;779.4;157.8
87-45;87;45;200;OK;3047.4;507.6
49-4;49;4;200;OK;3294.3;648.0
15-163;15;163;200;OK;1949.5;319.0
166-169;166;169;200;OK;2221.0;363.4
131-52;131;52;200;OK;4024.1;676.3
164-118;164;118;200;OK;2475.9;405.1
16-28;16;28;200;OK;1340.6;273.5
170-94;170;94;200;OK;654.0;119.1
145-142;145;142;200;OK;821.5;134.4
148-165;148;165;200;OK;2020.4;337.5
58-13;58;13;200;OK;921.7;150.8
56-1;56;1;200;OK;1023.8;213.5
6-157;6;157;200;OK;1653.5;270.6
166-65;166;65;200;OK;1829.4;299.3
63-39;63;39;200;OK;1995.8;391.9
110-24;110;24;200;OK;2116.2;379.0
80-52;80;52;200;OK;3171.6;537.8
118-63;118;63;200;OK;2023.6;354.1
88-166;88;166;200;OK;2933.0;479.9
11-105;11;105;200;OK;2173.0;356.6
129-131;129;131;200;OK;4816.4;803.3
7-163;7;163;200;OK;1270.6;207.9
18-124;18;124;200;OK;842.7;183.6
9-53;9;53;200;OK;3225.0;527.7
168-17;168;17;200;OK;1939.4;321.5
169-157;169;157;200;OK;1297.0;212.2
57-39;57;39;200;OK;1593.2;325.0
56-64;56;64;200;OK;1565.6;300.0
98-161;98;161;200;OK;2029.1;350.9
6-156;6;156;200;OK;1939.0;317.3
73-163;73;163;200;OK;3576.2;585.2
65-17;65;17;200;OK;3444.4;563.6
34-56;34;56;200;OK;2063.8;377.1
149-23;149;23;200;OK;3549.2;640.1
100-166;100;166;200;OK;1972.8;322.8
7-53;7;53;200;OK;3315.7;542.5
3-161;3;161;200;OK;2831.1;464.7
58-83;58;83;200;OK;4133.4;676.3
6-161;6;161;200;OK;1392.8;229.4
160-122;160;122;200;OK;1963.0;325.2
110-78;110;78;200;OK;2900.4;493.2
35-109;35;109;200;OK;2298.9;378.9
87-103;87;103;200;OK;2550.6;417.3
171-93;171;93;200;OK;1200.9;196.5
81-86;81;86;200;OK;2254.3;368.9
91-143;91;143;200;OK;4139.0;681.7
22-143;22;143;200;OK;4763.3;787.4
78-46;78;46;200;OK;2326.6;399.3
59-2;59;2;200;OK;1518.4;286.2
4-163;4;163;200;OK;889.6;236.1
103-25;103;25;200;OK;3219.3;544.1
79-23;79;23;200;OK;3278.2;571.5
161-58;161;58;200;OK;1860.9;304.5
86-31;86;31;200;OK;759.1;141.6
163-48;163;48;200;OK;3555.8;690.9
58-12;58;12;200;OK;330.3;91.5
167-4;167;4;200;OK;2348.1;474.8
134-31;134;31;200;OK;2226.0;394.4
101-49;101;49;200;OK;3322.2;609.3
35-78;35;78;200;OK;3311.4;563.2
103-166;103;166;200;OK;1443.9;236.3
133-41;133;41;200;OK;1072.2;175.4
20-56;20;56;200;OK;1132.3;223.1
83-21;83;21;200;OK;2658.9;472.3
163-137;163;137;200;OK;3652.7;597.7
117-153;117;153;200;OK;3354.2;548.8
62-55;62;55;200;OK;3044.1;498.1
149-59;149;59;200;OK;2959.5;495.4
8-56;8;56;200;OK;1883.4;346.0
5-124;5;124;200;OK;1557.8;257.8
134-18;134;18;200;OK;3058.6;555.7
135-38;135;38;200;OK;3707.5;677.1
64-164;64;164;200;OK;2883.3;471.8
11-164;11;164;200;OK;1850.1;303.8
73-45;73;45;200;OK;1267.1;216.3
166-149;166;149;200;OK;3206.0;524.6
79-102;79;102;200;OK;1807.2;320.0
14-123;14;123;200;OK;637.1;106.8
46-81;46;81;200;OK;3042.2;499.2
